"Year","Region","centroid_longitude","centroid_latitude","centroid_latitude_Median","centroid_longitude_Median","centroid_latitude_Quantile_05","centroid_longitude_Quantile_05","centroid_latitude_Quantile_95","centroid_longitude_Quantile_95"
1990,"Canada",-61.5864615703742,43.8040038161243,43.4877716886565,-62.1426958681828,42.3703196234848,-66.6997839468152,46.3152138047043,-52.5310012565498
1990,"USA",-68.6409651604826,42.7740454410195,43.091261556618,-68.6570368287933,40.4423631470823,-70.1133489453793,44.2027462174518,-67.3418003636462
1991,"Canada",-61.0562216848748,43.925416016802,43.816813260347,-61.2073015915637,42.4173730564426,-66.7120611691815,46.2965959585994,-53.6736409590077
1991,"USA",-68.5325818123376,42.9334192478322,43.4119211582347,-68.5790779557863,40.6749887780786,-70.0801648282262,44.2231241209897,-67.3778127818426
1992,"Canada",-61.2765402638366,44.0268947607816,43.816813260347,-61.7769644029032,42.4000437811346,-66.717227902968,47.1891635743619,-52.1615972951492
1992,"USA",-68.6259314053984,42.8789258263893,43.4119211582347,-68.6570368287933,40.4484757726534,-70.1049285809531,44.2056724210574,-67.4324873635879
1993,"Canada",-61.6986349505289,43.8172231941788,43.6967837738585,-62.0850976578281,42.3924944517157,-66.6950624713086,45.8653468987607,-53.9756481845638
1993,"USA",-68.638019649898,42.9473831633461,43.4441613634692,-68.6570368287933,40.4840585382281,-70.0895227503956,44.1888955219342,-67.4325944082392
1994,"Canada",-61.2745739760833,43.9036110702031,43.5777358118476,-61.8311064672102,42.3966525372848,-66.6679320335126,46.9542386872998,-52.419108817175
1994,"USA",-68.5826913774368,43.044276654637,43.4756206608786,-68.6136429203861,40.7079378906345,-70.1079293266995,44.2318020936193,-67.431369985922
1995,"Canada",-60.9062552079555,43.8515473946484,43.5777358118476,-60.5294115509759,42.4282179860918,-66.5425213662852,46.2961052425221,-53.9928251891064
1995,"USA",-68.6801911211783,42.8506403255444,43.4441613634692,-68.6570368287933,40.4433317265762,-70.0842758661862,44.22429725498,-67.4363019865848
1996,"Canada",-61.7212023227537,43.8529988919207,43.6260655940945,-62.0663372236763,42.3950167193331,-66.7334027717746,46.935384827602,-53.9859376667732
1996,"USA",-68.5300428899142,43.141677351244,43.6644239317582,-68.5707389807383,40.5436578554206,-70.1046460071441,44.2364481666577,-67.4344224572114
1997,"Canada",-60.9579635296643,43.970359096451,43.822684568829,-60.9403895059474,42.4031088067485,-66.602858858932,46.976157968892,-53.6730728428128
1997,"USA",-68.5481778358679,43.0836856940052,43.5652780587241,-68.5707389807383,40.4228787996993,-70.0594477995983,44.2267205842365,-67.4349136648224
1998,"Canada",-61.5126050178178,43.8957173502096,43.6641186526927,-62.0113315055629,42.3958209105784,-66.7172520514148,46.9344606390306,-53.0920726593394
1998,"USA",-68.5704393620155,43.2394092293815,43.6961248423044,-68.6136429203861,40.7959363079542,-70.1003794320341,44.2351370091477,-67.4364625134744
1999,"Canada",-61.0938902418383,43.9982744358793,44.0527030359767,-61.1295245563184,42.4245780595695,-66.7129034589549,46.3156314471195,-53.3750324289404
1999,"USA",-68.5121682610347,43.270230448502,43.6961248423044,-68.5707389807383,40.890095898653,-70.0835385337322,44.2413587729225,-67.4360847616439
2000,"Canada",-61.103836102833,44.0026521884882,43.822684568829,-61.4358040740824,42.407839060024,-66.6931607554091,46.9402584341093,-52.4635566433746
2000,"USA",-68.5588824679662,43.2250734479172,43.6961248423044,-68.6136429203861,40.8954614407346,-70.1064695843973,44.2347944476795,-67.435863708831
2001,"Canada",-61.34644253613,44.0047382476618,43.6477844561215,-61.4521208708932,42.4111973531474,-66.7394091244164,46.9905992629118,-52.8033593913449
2001,"USA",-68.4949087893177,43.4435139228866,43.884642179298,-68.4449024540842,41.2031332967381,-70.0311587958048,44.234872291373,-67.4632928793081
2002,"Canada",-61.4420640338148,43.9188578150787,43.6477844561215,-62.0850976578281,42.4075202134042,-66.6768278311166,46.9556653057742,-52.4834030904622
2002,"USA",-68.4768464872568,43.3524569482297,43.757152453289,-68.3518390156365,40.9462303037647,-70.0911549027019,44.2393141227143,-67.4366679300485
2003,"Canada",-62.2697708006278,43.8273407105922,43.5019195519284,-62.6796956012579,42.4024412228295,-66.763908620741,46.7392571361682,-54.9214245024429
2003,"USA",-68.3535369100218,43.5040799838477,43.9165864225712,-68.3095205941739,41.3397682242646,-70.031076554225,44.2471712677831,-67.4366076452732
2004,"Canada",-61.5420182918024,44.0242354993782,43.7118732600672,-62.0850976578281,42.4036916390871,-66.74697119275,47.1881099096187,-52.0503697711365
2004,"USA",-68.4921192074576,43.4392496518492,43.7270355196086,-68.3518390156365,41.3962894119266,-70.031216905153,44.2373505098762,-67.4376602111372
2005,"Canada",-62.0910734060144,43.8396015961592,43.6089349267247,-62.3731300161606,42.4011282890251,-66.7597745022031,46.0766994056645,-53.9754572478138
2005,"USA",-68.4634312712856,43.4600241898042,43.757152453289,-68.4991636617457,41.3857306816858,-70.0310399152306,44.2434635656447,-67.4367826489706
2006,"Canada",-61.950169196695,43.8956975678581,43.6641186526927,-61.5365919831884,42.4216941837979,-66.7498792532808,46.2964252977091,-57.4550861728027
2006,"USA",-68.3471453606137,43.5248963903996,43.9165864225712,-68.3095205941739,41.204922199684,-69.9866417457581,44.2383852437328,-67.435412426541
2007,"Canada",-61.4279120573461,44.0330236454303,43.6477844561215,-62.0850976578281,42.3945061263542,-66.7463329104972,47.2153105507589,-51.5940081555173
2007,"USA",-68.584547805819,43.3427910940662,43.6961248423044,-68.6136429203861,41.2032086810913,-70.2837185301982,44.237323193797,-67.4369505129065
2008,"Canada",-61.5968009584516,44.0011853574892,43.7507963745797,-62.1232739409559,42.4073318136043,-66.73111665821,46.9536221132799,-51.7183734786132
2008,"USA",-68.4769694991259,43.4775169222767,43.884642179298,-68.3518390156365,41.4115608208042,-70.0313161898649,44.2379619362015,-67.4382337750658
2009,"Canada",-61.6012428989894,44.0194068447559,43.8025410432055,-62.0663372236763,42.4080376468854,-66.7610493560556,46.9362496556443,-52.1925089091524
2009,"USA",-68.3901569037546,43.4710237521512,43.9165864225712,-68.0654392488199,41.5126529939611,-70.1474491765227,44.2462507820707,-67.4350116042768
2010,"Canada",-61.0361333281222,44.0037386826232,43.822684568829,-61.1447228767695,42.4222329072057,-66.7338413736366,46.7393292004345,-52.1524802647021
2010,"USA",-68.4402029535308,43.6325395833519,43.9165864225712,-68.3518390156365,41.8366412992817,-69.9868422249796,44.2408582014249,-67.4728951030399
2011,"Canada",-60.7945290651369,44.1472089054835,43.9359585271577,-61.2234051432512,42.4049603151001,-66.7451166655225,46.9876301744527,-51.0085272396998
2011,"USA",-68.59168178646,43.350658333699,43.6644239317582,-68.6136429203861,41.5324661302432,-70.1550141811662,44.2394827592126,-67.4383961778597
2012,"Canada",-60.7684020876301,44.1125537402131,43.9765483882082,-61.4358040740824,42.5626037481505,-66.74699257352,46.963859459413,-50.6331542835821
2012,"USA",-68.7475267958247,43.4058661395829,43.6961248423044,-68.6570368287933,41.5997765342258,-70.3134935699051,44.237147738158,-67.4729504685304
2013,"Canada",-60.6297699884441,44.2447799194937,44.064296996241,-60.8951132235962,42.5795975159831,-66.7408846154649,46.9905604637138,-51.1631553404606
2013,"USA",-68.6982539013523,43.2943561299256,43.6961248423044,-68.6570368287933,41.3583200017143,-70.3124029809974,44.2308057642486,-67.4389347060007
2014,"Canada",-60.7274379263184,44.2302471117325,44.1177133451741,-61.1913841415784,42.5861418978216,-66.7266447765866,47.1720530828015,-51.8037233987239
2014,"USA",-68.601705265464,43.3915704478108,43.6961248423044,-68.6136429203861,41.3906315845946,-70.1539195673555,44.2432942138883,-67.4382517739089
2015,"Canada",-60.317355042606,44.3070128046591,44.1745092523611,-60.2215240774618,42.5618079396627,-66.7272431151407,47.2125833501099,-51.1413176590244
2015,"USA",-68.7917503118835,43.1003464236163,43.3789036661656,-68.8298471155993,41.1649495346847,-70.3453835211937,44.2204844957829,-67.4378394868366
2016,"Canada",-59.8489713453539,44.3214279037735,44.2597944582447,-60.0772054175306,42.6160603507538,-66.5898321492887,46.7315221256262,-51.6634833029731
2016,"USA",-68.6693585911545,43.2211567467369,43.6319363774258,-68.6570368287933,41.1448478433234,-70.1949766956193,44.2332227463371,-67.4729280741926
2017,"Canada",-59.4599997589566,44.3072715419305,44.2009341986261,-59.9463585105774,42.610085928981,-66.5261009551732,47.1814922885605,-49.4148133338258
2017,"USA",-68.7355198019026,43.0853496644185,43.4441613634692,-68.7868685215416,40.958525160626,-70.3010466683187,44.233832113935,-67.436317936625
2018,"Canada",-59.3700019206525,44.4315834732097,44.2853225636869,-59.6248327880473,42.5785872445293,-66.575436188618,47.2153966448102,-50.3071950892491
2018,"USA",-68.6099396260747,43.3427371355486,43.7270355196086,-68.6136429203861,41.1650216520608,-70.1338017490975,44.2375579640886,-67.4729016240856
2019,"Canada",-59.0520287524629,44.4022910002267,44.2666148227242,-59.6549172889027,42.6835529174234,-66.3370760898429,47.2108050461777,-50.272402322246
2019,"USA",-68.7427881146789,43.0265384638903,43.3451125841171,-68.7443716833873,40.9096195469945,-70.3382478542239,44.2074448017458,-67.4352801172892
2020,"Canada",-59.2366492319449,44.4834831206684,44.2597944582447,-59.7517969293841,42.5849458522181,-66.6714096973558,47.4404407566993,-49.788481781734
2020,"USA",-68.6520938875209,43.2299692966772,43.6644239317582,-68.6570368287933,41.1274075440043,-70.302917290807,44.2345487072179,-67.4376410322885
2021,"Canada",-59.8594201354266,44.4021290299238,44.2666148227242,-59.7405151720744,42.5834056460094,-66.6714144678774,47.2127415808586,-51.5954242012615
2021,"USA",-68.7241980617959,43.1185733697905,43.4441613634692,-68.6570368287933,40.9300020320454,-70.3329576488356,44.2294503432057,-67.4370535370066
2022,"Canada",-59.3332343687148,44.4779886721464,44.2776847112,-59.6248327880473,42.5814266476016,-66.5948089147732,47.2155246256332,-50.2699479221342
2022,"USA",-68.7097971099658,43.0920830398084,43.4441613634692,-68.6570368287933,40.9185616861556,-70.3354032571096,44.2312644900478,-67.4366293540654
2023,"Canada",-59.5483274130274,44.3471839680453,44.2597944582447,-59.9243259044931,42.5850477027995,-66.6815681108886,47.2015618928985,-50.3787392390132
2023,"USA",-68.6222070066626,43.2278058215023,43.6644239317582,-68.6136429203861,40.9587242312542,-70.2958220407977,44.2362107084058,-67.4374646333644
